mode,seq,arrival_timestamp,esp_time_ms,raw_value,filtered_cloud,filtered_edge,cloud_processing_ms,edge_processing_ms,arrival_interval_ms,sender_ip,sender_port
A,0,1777386796.390102,50.0,0.996422,0.6396325853444766,0.0,1.1694219997480104,0.0,0.0,192.168.100.219,1235
A,1,1777386796.3984308,100.0,-0.876051,0.009007075413474487,0.0,0.9874889997263381,0.0,8.328914642333984,192.168.100.219,1235
A,2,1777386796.4499006,150.0,1.186038,0.3704767386448471,0.0,0.9525230002509488,0.0,51.46980285644531,192.168.100.219,1235
A,3,1777386796.497271,200.0,1.208775,0.5945524544664669,0.0,0.8705989998816221,0.0,47.37043380737305,192.168.100.219,1235
A,4,1777386796.5461323,250.0,0.870551,0.6667271034154113,0.0,1.2920730000587355,0.0,48.86126518249512,192.168.100.219,1235
A,5,1777386796.5986133,300.0,2.483587,1.0032725457734433,0.0,1.1324219999551133,0.0,52.48093605041504,192.168.100.219,1235
A,6,1777386796.646733,350.0,1.505884,1.0935661537538628,0.0,0.843037999857188,0.0,48.11978340148926,192.168.100.219,1235
A,7,1777386796.7172394,400.0,2.135274,1.2517998386236342,0.0,1.5455300003850425,0.0,70.50633430480957,192.168.100.219,1235
A,8,1777386796.7445385,450.0,2.618142,1.46760830530889,0.0,0.857074000123248,0.0,27.299165725708008,192.168.100.219,1235
A,9,1777386796.8013086,500.0,1.577872,1.4921533623457148,0.0,1.3756710000052408,0.0,56.77008628845215,192.168.100.219,1235
A,10,1777386796.84742,550.0,1.51978,1.5000437110726452,0.0,0.938055999995413,0.0,46.111345291137695,192.168.100.219,1235
A,11,1777386796.8954802,600.0,1.02397,1.4208778884007265,0.0,0.8507719999215624,0.0,48.06017875671387,192.168.100.219,1235
A,12,1777386796.9485188,650.0,1.430431,1.4224727115904412,0.0,1.2269610001567344,0.0,53.038597106933594,192.168.100.219,1235
A,13,1777386796.9939625,700.0,3.310134,1.7070797044684904,0.0,1.1084269999628305,0.0,45.44377326965332,192.168.100.219,1235
A,14,1777386797.044139,750.0,2.421673,1.811171113598566,0.0,1.566640999953961,0.0,50.176382064819336,192.168.100.219,1235
A,15,1777386797.097359,800.0,1.171424,1.697122607718025,0.0,4.5790120002493495,0.0,53.22003364562988,192.168.100.219,1235
A,16,1777386797.1522808,850.0,0.952267,1.5782520667971254,0.0,40.9120089998396,0.0,54.921865463256836,192.168.100.219,1235
A,17,1777386797.2072833,900.0,0.616227,1.4185877991460034,0.0,37.73704100012765,0.0,55.002450942993164,192.168.100.219,1235
A,18,1777386797.3164303,950.0,1.616615,1.4505399456338999,0.0,53.91230099985478,0.0,109.1470718383789,192.168.100.219,1235
A,19,1777386797.3999157,1000.0,-0.606413,1.0867835306182787,0.0,239.52486500002124,0.0,83.48536491394043,192.168.100.219,1235
A,20,1777386797.6424468,1050.0,-0.266417,0.8337170375794714,0.0,30.075423999733175,0.0,242.53106117248535,192.168.100.219,1235
A,21,1777386797.676195,1100.0,-0.89718,0.46635547499611385,0.0,30.397228999845538,0.0,33.74814987182617,192.168.100.219,1235
A,22,1777386797.7111282,1150.0,-0.76124,0.1616506907099023,0.0,49.2703499999152,0.0,34.93332862854004,192.168.100.219,1235
A,23,1777386797.7610722,1200.0,-1.583683,-0.21628158784555834,0.0,38.962559000083274,0.0,49.94392395019531,192.168.100.219,1235
A,24,1777386797.8005865,1250.0,-0.499952,-0.277485428067187,0.0,14.049246000013227,0.0,39.51430320739746,192.168.100.219,1235
A,25,1777386797.8197026,1300.0,-1.747217,-0.5195691909701118,0.0,16.875878000064404,0.0,19.11616325378418,192.168.100.219,1235
A,26,1777386797.8653724,1350.0,-2.301246,-0.797638405989017,0.0,46.746918999815534,0.0,45.6697940826416,192.168.100.219,1235
A,27,1777386797.9208012,1400.0,-1.222367,-0.863950464247661,0.0,35.83463099994333,0.0,55.42874336242676,192.168.100.219,1235
