mode,seq,arrival_timestamp,esp_time_ms,raw_value,filtered_cloud,filtered_edge,cloud_processing_ms,edge_processing_ms,arrival_interval_ms,sender_ip,sender_port
B,0,1777386898.1955533,50.0,0.996422,,0.626384,0.0,24.493999,0.0,192.168.100.219,1235
B,1,1777386898.200362,100.0,0.941539,,0.765342,0.0,24.445,4.808664321899414,192.168.100.219,1235
B,2,1777386898.2037475,150.0,2.260471,,1.183168,0.0,24.611,3.3855438232421875,192.168.100.219,1235
B,3,1777386898.247609,200.0,-0.342719,,0.794284,0.0,24.603001,43.86138916015625,192.168.100.219,1235
B,4,1777386898.2903242,250.0,0.141111,,0.645163,0.0,24.445999,42.71531105041504,192.168.100.219,1235
B,5,1777386898.3387017,300.0,2.706298,,1.104086,0.0,24.511,48.37751388549805,192.168.100.219,1235
B,6,1777386898.3885977,350.0,2.673944,,1.403082,0.0,24.591999,49.8960018157959,192.168.100.219,1235
B,7,1777386898.438801,400.0,2.019817,,1.51174,0.0,24.48,50.20332336425781,192.168.100.219,1235
B,8,1777386898.4933844,450.0,2.872654,,1.732117,0.0,24.490999,54.58331108093262,192.168.100.219,1235
B,9,1777386898.5438716,500.0,1.65395,,1.723114,0.0,24.329,50.48727989196777,192.168.100.219,1235
B,10,1777386898.5968032,550.0,1.792822,,1.734096,0.0,24.434,52.93154716491699,192.168.100.219,1235
B,11,1777386898.63236,600.0,0.844362,,1.590848,0.0,24.429001,35.556793212890625,192.168.100.219,1235
B,12,1777386898.683111,650.0,4.082668,,2.000494,0.0,24.625,50.7509708404541,192.168.100.219,1235
B,13,1777386898.734079,700.0,2.599483,,2.088898,0.0,24.452999,50.96793174743652,192.168.100.219,1235
B,14,1777386898.7828302,750.0,0.696893,,1.867829,0.0,24.469,48.7513542175293,192.168.100.219,1235
B,15,1777386898.837184,800.0,1.217287,,1.76665,0.0,24.434,54.35371398925781,192.168.100.219,1235
B,16,1777386898.8809602,850.0,1.852093,,1.781168,0.0,24.486,43.77627372741699,192.168.100.219,1235
B,17,1777386898.93355,900.0,-0.297025,,1.455488,0.0,24.580999,52.58965492248535,192.168.100.219,1235
B,18,1777386898.99802,950.0,0.506543,,1.304876,0.0,24.462,64.47005271911621,192.168.100.219,1235
B,19,1777386899.030817,1000.0,1.310818,,1.306999,0.0,24.431999,32.79709815979004,192.168.100.219,1235
B,20,1777386899.0978248,1050.0,0.044796,,1.084412,0.0,24.615999,67.00778007507324,192.168.100.219,1235
B,21,1777386899.1331537,1100.0,-1.946578,,0.557013,0.0,24.52,35.32886505126953,192.168.100.219,1235
B,22,1777386899.1828942,1150.0,0.343667,,0.516284,0.0,24.392,49.74055290222168,192.168.100.219,1235
B,23,1777386899.2329197,1200.0,-0.890045,,0.298887,0.0,24.607,50.02546310424805,192.168.100.219,1235
B,24,1777386899.2831266,1250.0,0.886313,,0.3774,0.0,24.433001,50.206899642944336,192.168.100.219,1235
B,25,1777386899.332895,1300.0,-0.071526,,0.296243,0.0,24.379999,49.76844787597656,192.168.100.219,1235
B,26,1777386899.3826988,1350.0,-2.58358,,-0.116325,0.0,24.565001,49.803733825683594,192.168.100.219,1235
B,27,1777386899.438031,1400.0,-1.761422,,-0.359363,0.0,24.503,55.332183837890625,192.168.100.219,1235
B,28,1777386899.4877567,1450.0,-1.13684,,-0.490803,0.0,24.351,49.72577095031738,192.168.100.219,1235
B,29,1777386899.538258,1500.0,-2.912103,,-0.913216,0.0,24.591999,50.501346588134766,192.168.100.219,1235
B,30,1777386899.5836437,1550.0,-0.853857,,-0.919407,0.0,24.433001,45.38559913635254,192.168.100.219,1235
B,31,1777386899.6312203,1600.0,-1.23062,,-0.977697,0.0,24.441999,47.5766658782959,192.168.100.219,1235
B,32,1777386899.682464,1650.0,-1.043554,,-0.98713,0.0,24.302,51.24354362487793,192.168.100.219,1235
B,33,1777386899.7326236,1700.0,-2.091856,,-1.159166,0.0,24.490999,50.15969276428223,192.168.100.219,1235
